Date,Open,High,Low,Close,Adj Close,Volume
2021-12-28,19.889999,19.910000,18.940001,19.020000,19.020000,3671400
2021-12-29,18.900000,19.090000,17.969999,18.719999,18.719999,3078600
2021-12-30,18.500000,19.670000,18.450001,19.400000,19.400000,1951700
2021-12-31,19.180000,19.910000,18.950001,18.969999,18.969999,1323200
2022-01-03,19.320000,19.750000,18.750000,19.240000,19.240000,1674800
2022-01-04,19.200001,19.240000,18.040001,18.770000,18.770000,2154500
2022-01-05,18.719999,18.719999,16.709999,16.760000,16.760000,3909400
2022-01-06,16.709999,16.709999,15.370000,16.110001,16.110001,6638500
2022-01-07,16.049999,16.730000,15.800000,15.830000,15.830000,2185600
2022-01-10,15.540000,15.750000,14.720000,15.580000,15.580000,3460500
2022-01-11,15.500000,16.365000,15.430000,16.150000,16.150000,1860200
2022-01-12,16.270000,16.700001,15.750000,15.970000,15.970000,1495000
2022-01-13,16.160000,16.160000,15.040000,15.070000,15.070000,1992300
2022-01-14,15.020000,15.370000,14.340000,14.900000,14.900000,3006000
2022-01-18,14.500000,14.580000,14.080000,14.100000,14.100000,2544900
2022-01-19,14.050000,14.640000,13.800000,13.830000,13.830000,2757100
2022-01-20,14.000000,14.440000,13.320000,13.380000,13.380000,3729600
2022-01-21,12.970000,13.280000,12.460000,12.510000,12.510000,4040000
2022-01-24,11.820000,12.500000,11.180000,12.480000,12.480000,4996200
2022-01-25,12.120000,12.440000,11.570000,12.090000,12.090000,3807000
2022-01-26,12.320000,12.599000,11.510000,11.720000,11.720000,3316500
2022-01-27,11.940000,11.980000,10.675000,10.920000,10.920000,4997700
2022-01-28,10.940000,11.330000,10.420000,11.320000,11.320000,5454300
2022-01-31,11.420000,12.290000,11.400000,12.280000,12.280000,4590000
2022-02-01,12.720000,12.900000,12.060000,12.630000,12.630000,3867500
2022-02-02,13.000000,13.050000,12.170000,12.420000,12.420000,2975500
2022-02-03,12.000000,12.260000,11.500000,11.510000,11.510000,3758400
2022-02-04,11.530000,11.710000,11.150000,11.380000,11.380000,4628200
2022-02-07,11.390000,12.030000,11.280000,11.380000,11.380000,3508700
2022-02-08,11.400000,11.620000,11.190000,11.560000,11.560000,3182100
2022-02-09,12.250000,12.500000,11.640000,12.500000,12.500000,6002600
2022-02-10,12.060000,12.617000,11.630000,11.670000,11.670000,3967500
2022-02-11,11.840000,11.840000,10.740000,10.900000,10.900000,4005500
2022-02-14,10.855000,11.165000,10.510000,10.530000,10.530000,2575600
2022-02-15,10.590000,11.450000,10.590000,11.390000,11.390000,2652300
2022-02-16,11.280000,11.602000,11.029000,11.400000,11.400000,2880100
2022-02-17,11.260000,11.470000,10.810000,10.870000,10.870000,2346400
2022-02-18,10.900000,10.930000,10.480000,10.660000,10.660000,2858700
2022-02-22,10.120000,10.560000,9.612000,9.890000,9.890000,7227900
2022-02-23,10.100000,10.360000,9.620000,9.810000,9.810000,4744000
2022-02-24,9.280000,11.295000,9.110000,11.240000,11.240000,9267600
2022-02-25,9.750000,9.860000,7.950000,8.810000,8.810000,18317200
2022-02-28,8.920000,9.680000,8.900000,9.520000,9.520000,8992000
2022-03-01,9.500000,9.780000,9.100000,9.330000,9.330000,4719000
2022-03-02,9.260000,9.400000,8.705000,8.810000,8.810000,3996800
2022-03-03,8.910000,8.950000,8.355000,8.470000,8.470000,4438800
2022-03-04,8.500000,8.910000,8.090000,8.180000,8.180000,4068800
2022-03-07,8.150000,8.760000,8.140000,8.310000,8.310000,5851300
2022-03-08,8.400000,9.195000,7.705000,8.750000,8.750000,7831300
2022-03-09,8.780000,9.265000,8.670000,8.970000,8.970000,4070100
2022-03-10,8.820000,8.914000,8.520000,8.830000,8.830000,2414400
2022-03-11,8.970000,9.150000,8.150000,8.180000,8.180000,2672100
2022-03-14,8.050000,8.100000,7.405000,7.490000,7.490000,3732000
2022-03-15,7.560000,7.970000,7.260000,7.960000,7.960000,4323900
2022-03-16,8.060000,8.880000,8.000000,8.860000,8.860000,6467800
2022-03-17,8.840000,9.840000,8.840000,9.810000,9.810000,5762500
2022-03-18,9.820000,10.785000,9.770000,10.770000,10.770000,7324900
2022-03-21,10.680000,11.084000,10.400000,10.730000,10.730000,6008400
2022-03-22,10.950000,11.388000,10.827000,11.140000,11.140000,4167200
2022-03-23,10.950000,11.045000,10.364000,10.900000,10.900000,3475900
2022-03-24,11.190000,11.630000,10.990000,11.540000,11.540000,3363100
2022-03-25,11.500000,11.600000,10.670000,10.890000,10.890000,2601000
2022-03-28,10.960000,11.220000,10.570000,10.910000,10.910000,2669300
2022-03-29,11.200000,11.940000,10.940000,11.580000,11.580000,4035100
2022-03-30,11.400000,11.840000,11.062000,11.160000,11.160000,3411600
2022-03-31,11.070000,11.420000,10.910000,11.010000,11.010000,1888800
2022-04-01,10.990000,11.510000,10.990000,11.320000,11.320000,2820300
2022-04-04,11.320000,12.360000,11.320000,12.150000,12.150000,3368800
2022-04-05,12.140000,12.460000,11.560000,11.720000,11.720000,3130200
2022-04-06,11.410000,11.665000,10.555000,10.800000,10.800000,3295200
2022-04-07,10.670000,11.120000,10.155000,10.620000,10.620000,2899300
2022-04-08,10.520000,10.580000,9.980000,10.240000,10.240000,2016500
2022-04-11,10.000000,10.260000,9.660000,9.920000,9.920000,3072400
2022-04-12,10.180000,10.520000,9.780000,9.810000,9.810000,3470700
2022-04-13,9.790000,10.165000,9.530000,10.120000,10.120000,2397800
2022-04-14,10.120000,10.180000,9.450000,9.460000,9.460000,2090900
2022-04-18,9.490000,9.640000,8.960000,9.370000,9.370000,3353000
2022-04-19,9.420000,9.855000,9.300000,9.800000,9.800000,2598900
2022-04-20,9.800000,9.860000,9.010000,9.040000,9.040000,3160600
